MD2	26
+Function:	m_indexDisc
+Time/date:	13:29 21/3/2016
+Input file:	/nfs/see-fs-01_teaching/ee12lmb/project/data/olivine_axial_compress_VPSC_big/TEX_PH1.OUT
+Crystal:	olivine
+Grains:	5000 (bin size: 0.250000 degrees, binning: interp)
+Seed:		1
+Time taken(s):	28546.456891
+Columns:	Strain,M-index
Data
   0.02000    0.00350
   0.04000    0.00416
   0.06000    0.00509
   0.08000    0.00672
   0.10000    0.00914
   0.12000    0.01197
   0.14000    0.01521
   0.16000    0.01903
   0.18000    0.02313
   0.20000    0.02764
   0.22000    0.03247
   0.24000    0.03753
   0.26000    0.04280
   0.28000    0.04824
   0.30000    0.05382
   0.32000    0.05948
   0.34000    0.06525
   0.36000    0.07093
   0.38000    0.07668
   0.40000    0.08238
   0.42000    0.08794
   0.44000    0.09339
   0.46000    0.09878
   0.48000    0.10406
   0.50000    0.10919
   0.50000    0.10919
