MD2	40
+Function:	m_indexDisc
+Time/date:	16:49 19/3/2016
+Input file:	/nfs/see-fs-01_teaching/ee12lmb/project/data/olivine_simple_shear_VPSC_big/TEX_PH1.OUT
+Crystal:	olivine
+Grains:	5000 (bin size: 0.250000 degrees, binning: interp)
+Seed:		1
+Time taken(s):	42636.123649
+Columns:	Strain,M-index
Data
   0.08750    0.01023
   0.17500    0.03164
   0.26250    0.06354
   0.35000    0.10095
   0.43750    0.13874
   0.52500    0.17419
   0.61250    0.20632
   0.70000    0.23489
   0.78750    0.26046
   0.87500    0.28370
   0.96250    0.30497
   1.05000    0.32449
   1.13750    0.34228
   1.22500    0.35843
   1.31250    0.37327
   1.40000    0.38685
   1.48750    0.39926
   1.57500    0.41065
   1.66250    0.42106
   1.75000    0.43063
   1.83750    0.43943
   1.92500    0.44752
   2.01250    0.45498
   2.10000    0.46181
   2.18750    0.46815
   2.27500    0.47400
   2.36250    0.47945
   2.45000    0.48453
   2.53750    0.48929
   2.62500    0.49379
   2.71250    0.49801
   2.80000    0.50200
   2.88750    0.50574
   2.97500    0.50928
   3.06250    0.51261
   3.15000    0.51577
   3.23750    0.51878
   3.32500    0.52166
   3.41250    0.52438
   3.50000    0.52698
