J2	26
+Function:	j_index
+Time/date:	16:49 19/3/2016
+Input file:	/nfs/see-fs-01_teaching/ee12lmb/project/data/quartz_axial_compress_VPSC_big/TEX_PH1.OUT
+Crystal:	quartz
+Grains:	5000
+Seed:		1
+Time taken(s):	105.878262
+Columns:	Strain,J-index
Data
   0.02000    1.01821
   0.04000    1.02314
   0.06000    1.03041
   0.08000    1.03978
   0.10000    1.05110
   0.12000    1.06421
   0.14000    1.07900
   0.16000    1.09537
   0.18000    1.11323
   0.20000    1.13253
   0.22000    1.15316
   0.24000    1.17510
   0.26000    1.19830
   0.28000    1.22270
   0.30000    1.24827
   0.32000    1.27493
   0.34000    1.30267
   0.36000    1.33147
   0.38000    1.36128
   0.40000    1.39208
   0.42000    1.42383
   0.44000    1.45646
   0.46000    1.48998
   0.48000    1.52438
   0.50000    1.55961
   0.50000    1.55961
