MC2	26
+Function:	m_indexCont
+Time/date:	16:49 19/3/2016
+Input file:	/nfs/see-fs-01_teaching/ee12lmb/project/data/quartz_axial_compress_VPSC_big/TEX_PH1.OUT
+Crystal:	quartz
+Grains:	5000
+Seed:		1
+Time taken(s):	363.617949
+Columns:	Strain,M-index
Data
   0.02000    0.00045
   0.04000    0.00121
   0.06000    0.00232
   0.08000    0.00376
   0.10000    0.00548
   0.12000    0.00746
   0.14000    0.00969
   0.16000    0.01214
   0.18000    0.01479
   0.20000    0.01763
   0.22000    0.02065
   0.24000    0.02383
   0.26000    0.02716
   0.28000    0.03064
   0.30000    0.03424
   0.32000    0.03795
   0.34000    0.04177
   0.36000    0.04569
   0.38000    0.04970
   0.40000    0.05379
   0.42000    0.05796
   0.44000    0.06218
   0.46000    0.06645
   0.48000    0.07078
   0.50000    0.07514
   0.50000    0.07514
