MD2	26
+Function:	m_indexDisc
+Time/date:	16:49 19/3/2016
+Input file:	/nfs/see-fs-01_teaching/ee12lmb/project/data/quartz_axial_compress_VPSC_big/TEX_PH1.OUT
+Crystal:	quartz
+Grains:	5000 (bin size: 0.250000 degrees, binning: interp)
+Seed:		1
+Time taken(s):	34669.706332
+Columns:	Strain,M-index
Data
   0.02000    0.02061
   0.04000    0.02002
   0.06000    0.01918
   0.08000    0.01804
   0.10000    0.01707
   0.12000    0.01616
   0.14000    0.01540
   0.16000    0.01501
   0.18000    0.01500
   0.20000    0.01567
   0.22000    0.01690
   0.24000    0.01886
   0.26000    0.02114
   0.28000    0.02384
   0.30000    0.02701
   0.32000    0.03051
   0.34000    0.03431
   0.36000    0.03829
   0.38000    0.04241
   0.40000    0.04659
   0.42000    0.05085
   0.44000    0.05520
   0.46000    0.05966
   0.48000    0.06410
   0.50000    0.06862
   0.50000    0.06862
